overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,reviewText_length_words,summary_length_words,label
5,True,"05 19, 2017",A1GDZWMU4BB5MH,B00A2G3G7G,dana sengaphone,Love this stethoscope! It's pretty and works great!,Five Stars,1495152000,,{'Color:': ' Rose Gold- White'},,8,2,POSITIVE
5,True,"04 29, 2015",A164MN35926Y0E,B0002BBV46,James Mathis,Excellent,Five Stars,1430265600,,,,1,2,POSITIVE
5,True,"03 12, 2018",A1AYH0Y1C8YVHJ,B00UOM6JQS,katt_gyrl,"The sound quality is good. My only complaint is that it didn't come with a wall plug, just a USB plug for power.",Works great,1520812800,,,,23,2,POSITIVE
5,True,"11 3, 2014",A223P3V4FS2LMU,B016OW62UO,mary ann charron,The bushes work well.  The price was great!,The price was great!,1414972800,,{'Size:': ' 1 Pack'},,8,4,POSITIVE
3,True,"10 21, 2015",A3UJCO2TAMVWLM,B001JYQ852,Mark Parzynski,This steel wool seems more like a 00.,Too course for 0000.,1445385600,,"{'Size Name:': ' 8 Pads', 'Style:': ' 0000 Super Fine'}",,8,4,NEUTRAL
5,True,"04 6, 2018",AQOZ5J0413BA0,B00IG46NL2,John Doe,"Product was exactly as advertised. Brand new, genuine Made in Japan Mitutoyo, with the Japanese paperwork, battery, etc.",Genuine Mitutoyo,1522972800,,{'Style:': ' Standard'},,18,2,POSITIVE
5,True,"07 11, 2015",ALG5HIFZ5LH4T,B00ICTW0U4,Special Equipment,Perfect.  Right at expectation.,Can't find these at brick & mortor stores.,1436572800,,,,4,8,POSITIVE
2,True,"06 29, 2015",A2W4N7JGESMIKH,B00445SSDS,NunyaBiz,"miss my old stethoscope, this was more expensive, but I find its not as great at sound as
I expected, and I was disappointed that the ears and the bell are different shades of gold/brass and don't match, I don't like the texture of the tubing. Its ok but if I could go back , I would have chosen a different Littmann , I love my old one.",Mehh....,1435536000,,,,68,1,NEGATIVE
5,True,"11 17, 2014",A1S45AKQ2X9EO8,B004NW96BK,chris veenstra,Thanks,Five Stars,1416182400,,,,1,2,POSITIVE
4,True,"06 28, 2017",AJYQTC9DTSDYG,B004S2GVSQ,ricco,It's a great buy. Saves money. My only concern is checking with my insurance to get same strips and lancets. If not have to switch and change gun  update: having problems with how this meter chews up batteries. i have had to buy 6 batteries to replace which seems strange. never had this happened before.. Meter is great easy to use but have to give 4 starts instead of 5 see how it goes,Excellent,1498608000,,{'Color:': ' b-meter'},,74,1,POSITIVE
3,True,"11 28, 2017",A7SUVXV6QZKEF,B00HFWQXQ6,Brandon Koonce,The product didn't come with the black stoppers as advertised and the stopper for the 50ml flask is too small that if you pushed it all the way down till it sealed yiu wouldnt be able to get it back out. Probable due to it being flutted unlike the others.,Item not exatcly as pictured.,1511827200,,,['https://images-na.ssl-images-amazon.com/images/I/7146z4tL8jL._SY88.jpg'],50,5,NEUTRAL
5,True,"10 23, 2015",A30OW9W0FKI2S7,B00C0YROFI,J Farence,It's doing it's job.,Five Stars,1445558400,,,,4,2,POSITIVE
4,True,"03 20, 2015",A1Q24HWS4KBAZ8,B000I3PUE0,Rene,"It's so great,I love it...Crystal clear. My only complaint would be that it switches between head and bell To easily. So I find myself positioning carefully cause twisting the tube at all will cause it to switch.","It's so great, I love it",1426809600,,{'Color:': ' Purple (Purple Rain)'},,37,6,POSITIVE
5,True,"12 13, 2016",A2UNFOMPBND1U,B01B3NDFW2,DeB,Good product.,Five Stars,1481587200,,{'Style:': ' 600pc Kit'},,2,2,POSITIVE
5,True,"03 16, 2017",A1UCS2OYGOFADK,B0006O1ICY,James Ledford Jr,fix a small leak worked out great,Five Stars,1489622400,,,,7,2,POSITIVE
4,True,"09 6, 2014",A1GR763X29MFV9,B0088ARCUU,Anthony A.,good would be better if they had measurements on them,Four Stars,1409961600,,,,10,2,POSITIVE
5,True,"01 25, 2018",A17AFX8ZTKLESV,B00C351GBC,Sharon Johnson,Easy to use since its cordless.,Five Stars,1516838400,,{'Color:': ' Fuchsia'},,6,2,POSITIVE
5,True,"09 12, 2017",A33GWB6OS6YKRF,B00CVZ4134,jymmiphreak,exactly as described!,exactly as described!,1505174400,,{'Number of Items:': ' 10'},,3,3,POSITIVE
5,False,"11 2, 2015",A1XLVHUK3MNJX,B000MVZ020,BooBooKitty,"I go through a lot of these.  I use them for when I need to deposit cans and bottles at the grocery store, for scrubbing a stain off my laundry, for cleaning up animal stuff, I can go on, I am extremely find of this product.",I highly recommend these gloves!,1446422400,,{'Size:': ' Small'},,46,5,POSITIVE
5,True,"11 11, 2016",A1ZOHNX0YBOH07,B00004Y68Y,Amazon Customer,"Very happy with grommets, exactly what I needed.",Five Stars,1478822400,,"{'Size:': ' Inquiries - by email', 'Color:': ' One Color'}",,8,2,POSITIVE
5,True,"07 20, 2017",A3SIPSFFIBSWN1,B01AN8095Y,Sherise,I really appreciated the fast shipling. The bags are great!,The bags are great!,1500508800,,{'Color:': ' Brown'},,10,4,POSITIVE
5,True,"04 16, 2015",A1XWWW6JJ8E73G,B00004Y75M,Tim,Very good and dependable gas can. Will buy more in the future.,Five Stars,1429142400,,{'Size:': ' 5 gallon'},,12,2,POSITIVE
1,False,"12 11, 2011",A3NI2C5F4HOLEY,B0009KMYHI,Brian Brunner,"1 star because I couldn't give 0 stars.
2 died in 1.5 years time.
No screen across the ventilation holes means no protection against invasive bugs (roaches) who then have a perfect shelter.
Buying something else.
I wouldn't want this ""warranty repaired"" because that would leave me with a ""third unit"" of something that has failed twice in less than 2 years.  It's just made-to-fail junk.",2 died in 1.5 years.,1323561600,10,"{'Size:': ' 2.2 cu.ft', 'Color:': ' Black'}",,66,5,NEGATIVE
4,True,"06 18, 2018",ANSJEE4YVX7IO,B00UMD1K2M,Rodney Davenport,good product. Accurate.,Four Stars,1529280000,,,,3,2,POSITIVE
1,True,"02 28, 2018",A3V15T5TXGUCZX,B002EDYPF2,Bryan F.,"As soon as a opened, there was a hole where the tubing connected to the cuff. I will be returning. Very disappointed with this!",Broken tubing,1519776000,,{'Size:': ' LARGE ADULT 30-50.8CM (13.5-20 IN)'},,24,2,NEGATIVE
5,True,"01 3, 2014",AHJUACESPGLVN,B00B51367M,Lindsay,awesome she loves them! I could not find anything like these anywhere else. will be buying more stuff from them,love,1388707200,,,,20,1,POSITIVE
5,True,"05 27, 2016",A1RNCNOTLD4HRL,B00MSGNVNW,KB,does the job!,Five Stars,1464307200,,,,3,2,POSITIVE
5,True,"03 10, 2015",A1JQS4KG7SIM58,B000MFDGVI,Rich S,"The standard for PPE,",Five Stars,1425945600,,,,4,2,POSITIVE
5,True,"07 29, 2015",A266ET1P6XBBEH,B006FLYIYM,RHG,Laser cutting available.,Five Stars,1438128000,,,,3,2,POSITIVE
4,True,"10 23, 2014",A2CMMOM29AA26N,B004UUAJA2,Mike Pientka,As described,Four Stars,1414022400,,{'Size:': ' 1/4-18 NPT'},,2,2,POSITIVE
1,True,"02 8, 2015",A258I2ZK5OX72Y,B00B7GQY3S,DL,"Inconsistent with turning off/on- does not stay on, will turn on randomly, other times can't turn it off. Dropped once off counter and it wouldn't turn off.",Would rather pay more for higher quality,1423353600,,{'Color:': ' Blue/Purple'},,27,7,NEGATIVE
5,False,"02 23, 2015",A3MC3B5FE7I7E8,B009K99HDS,kawnee,"Good product to show your client, the picture of connectivity of your installation, in visual case is more better than the fluke microscanner 2. I plug the triplett and take 2 pictures, one from the outlet, and another from the patch panel, and give the report to the client that he can see the connectivity. Good verification tool",Good verification tool,1424649600,,,,58,3,POSITIVE
4,True,"04 3, 2015",A2LQR9HEHFTEH6,B008SBUGDE,April Lopez,"It worked great. Exactly as expected. The sticker stayed well and was easy to install with no hassle. It fit perfectly into the space i needed.  I gave it a 4, because it seemed to take awhile to arrive, but i'm not certain if that was an issue with our mail carrier.",Easy to install with no hassle.,1428019200,,,,52,6,POSITIVE
4,True,"09 7, 2017",A3H25GJBLAEM3C,B000SKX0N6,Mike Fahlenkamp,Did not use on the intended job...but really cleaned up my home shower head...,Four Stars,1504742400,,{'Size:': ' 1 Gallon Bottle'},,14,2,POSITIVE
5,True,"07 11, 2011",A15ZVM3UYIXMGT,B000FOWH7U,Mr. Bun,"I have a Raleigh Detour Deluxe, and bought this so I could put it over the rack to protect it and cushion my cargo baskets. I cut the pieces to length, and slit them lengthwise and slipped them onto the rack. Popped my baskets on, and the tubing keeps them very securely in place while protecting my bicycle. Highly recommended!",Bike Rack Protector,1310342400,,"{'Inside Diameter:': ' 1/2', 'Length:': ' 10', 'Outside Diameter:': ' 3/4', 'Overall Length:': ' 10'}",,60,3,POSITIVE
5,False,"05 8, 2016",A3UFYMXIT6OH0Z,B00FJXYKDQ,T. Greenwood,"Works good. Really helps.
Just need to get the bolts to fasten it to a solid mount.",Like it.,1462665600,,,,17,2,POSITIVE
5,True,"07 21, 2016",A1ZVA6EFVPQCGP,B00BFJLXTM,317-GOT-TINT,Very good glue. Ridiculously strong.,Five Stars,1469059200,,,,5,2,POSITIVE
4,True,"11 17, 2017",A1JLISSNV8V25N,B00QQ5Q3BI,kkentium,"Solid plate that fits right on my Wanhao Duplicator i3 V2.1 heated bed. Using just thermal pads, it stays in place and transfers the heat nicely.",it stays in place and transfers the heat nicely.,1510876800,,,,26,9,POSITIVE
5,False,"08 13, 2016",A1GKS7DYX9RACL,B00DMI632G,AmazingSpiderPig,"Great for the price I paid. It is accurate as far as I have tested. I've used it for home brewing, auto repair, and air conditioning/refrigeration repair.",Great for the price I paid,1471046400,2,{'Style Name:': ' lasergrip 1080'},,27,6,POSITIVE
5,False,"08 14, 2015",A34QHWKMRP1C5U,B0007LQH86,JRob,I'm super happy with my Seville chef table! It's always been a dream of mine to have a chef table and our new apartment lacked counter space so we got it and love it! It's sturdy and can take like a thousand pounds! Seriously considering adding on another shelf for added storage.,A must for small kitchens,1439510400,14,"{'Size:': ' Large', 'Style Name:': ' Stainless Steel'}",['https://images-na.ssl-images-amazon.com/images/I/71m-MZnynOL._SY88.jpg'],52,5,POSITIVE
4,True,"01 8, 2016",A2LVX5527DM0L,B00PJSUZSK,Aubrey,"Great price for nice looking aluminum channel.  I ran XKTTSUEERCRR 3014 SMD strips in these channels for under-cabinet and in-pantry lighting.  Both of which turned out great.  As others have pointed out, the clips this comes with are total crap.  Just use some serious double sided 3M tape for mounting and you'll be good to go.","Great price, works well, crappy clips.",1452211200,2,{'Size:': ' U-Shape/5-Pack'},,56,6,POSITIVE
5,True,"01 30, 2014",A15N9GCGJRBXZ8,B00EDLYAZI,Dave,"Great price for what you get. It saved me a lot of time trying to figure out what was bad with my sons PC. MB was toast.
The lack of instructions sucked but I was able to determine the problem anyway.",It works,1391040000,2,,,41,2,POSITIVE
5,True,"03 11, 2018",AEM1ZG12I6W3U,B00T8BJ3SM,Jane Fowler,Good stuff.  Stay in place.,Helps get the job done,1520726400,,{'Size:': ' 80 Grit'},,5,5,POSITIVE
5,True,"07 20, 2015",A2T8HRL3Y7A80U,B00H6OY6SU,purdyboy89,"Just as they look, nice little bottles with small applicators. I'm even happier because I received 15 not just 10.",Great for e-liquid,1437350400,,,,20,3,POSITIVE
5,False,"07 25, 2016",A1DYSLETMQ4BTS,B01CRYZ2BI,Mary Ann,I got this to do modern arts and crafts with my kids! Loved it so much I bought another a few weeks later so the kids didn't have to share. My son wants to be an architect and so now he can build any dream creation he likes. Would definitely recommend to all for affordable building fun!,Great For Kids!,1469404800,3,,,57,3,POSITIVE
5,True,"08 23, 2017",A2CJGYKSUQ3EN5,B00DDYF8B6,Stondre,Exactly what I expected delivered on time.,Five Stars,1503446400,,,,7,2,POSITIVE
4,True,"03 30, 2015",AMCOLMQF17DEN,B001VZ8SBQ,Ernesto P.,worked well,Four Stars,1427673600,,{'Package Quantity:': ' 1'},,2,2,POSITIVE
5,True,"07 17, 2016",A2U68AICRTAPYZ,B00M2DDJNS,Dean Demetriou,Saved me hundreds of dollars vice replacing my chlorine generator board.,Five Stars,1468713600,,,,11,2,POSITIVE
3,True,"11 23, 2015",A2S1C2DJX48HG2,B0015G6VM4,FlashHack,I used this to hook up a Nest Learning Thermostat to my gas fireplace. Seems to work about 90% of the time. Every so often the thermostat sends a signal that the relay doesn't pick up and I have to adjust the thermostat up/down to get it to send the on signal again. Thinking about replacing it.,Not Good for Mission Critical,1448236800,2,{'Size:': ' Pack of 1'},,57,5,NEUTRAL
1,True,"02 26, 2015",A2AR4QHMMNX4RK,B000JM6AG2,Edmund Van Brunt,Don't waste your money.  Couldn't even pick up a heartbeat.  Spend your money on a Littmann and get something that really works.  This is just a toy.,Don't waste your money,1424908800,2,{'Color:': ' All Black (BlackOut)'},,27,4,NEGATIVE
5,True,"07 29, 2016",A1CMKWZO6FFGD9,B000CIF2NK,Sarah Bellinger,I purchased this because I in emt school. I learned about this brand from a girl i rode with. She compared it to a littman. I read some reviews that stated they couldn't hear anything... Not sure if they got a broken one or they were not using it properly. But this stethescope works just as good as the high priced ones. Very happy customer.,Perfect for vitals!,1469750400,2,{'Color:': ' Copper'},['https://images-na.ssl-images-amazon.com/images/I/71MgC0zd2UL._SY88.jpg'],65,3,POSITIVE
5,True,"01 7, 2014",A39BENR4CZJL3R,B000BULTKE,Ron Yocham,This was selected as a generic replacement for the convection blower on a discontinued model of a wood stove and worked perfectly!,wood stove blower replacement,1389052800,,,,22,4,POSITIVE
5,True,"01 22, 2015",A17O6YHNP4O4JW,B001SFV8AW,Marcel Giraldi,everything ok,Five Stars,1421884800,,,,2,2,POSITIVE
5,True,"03 15, 2017",A1Q2IXWWWJBAKB,B01A1GTWWO,Amazon Customer,very good,Five Stars,1489536000,,,,2,2,POSITIVE
5,True,"12 29, 2013",A2SAI2GFNJZO2R,B002OS6D9I,brewstergalVT,"Great packaging!  I expected some of the slides or cover glass to be broken when they arrived but all were intact thanks to the great packaging.  What can I say about the product? They're clean and without scratches and as a hobbyist, I don't think I'll ever go through the entire package so it's more than I need.  Good value!",Fine slides & cover glass,1388275200,,{'Size:': ' 1 Unit (Slide and Cover)'},,60,5,POSITIVE
5,True,"11 22, 2014",A2AS2OC9E7NLGI,B00FOQITXA,Dawn H.,"Wonderful for any small kitchen baker! Also, can put cooling rack on each arm and cool down or air dry items. I have two of these. Love them!!",So happy to find this item,1416614400,,,,28,6,POSITIVE
5,True,"08 17, 2015",A3EWKN9BUCMGHG,B00I5HRG02,Randolpf Johnson,great,Five Stars,1439769600,,,,1,2,POSITIVE
5,True,"11 6, 2015",A34JG9IFND15IQ,B00DRALJ28,Amazon Customer,Do your job!,Five Stars,1446768000,,,,3,2,POSITIVE
5,True,"04 2, 2017",A3ABV7XRJ07KYK,B001OKBCDE,Horace,All good thanks .,Good service !!#,1491091200,,,,4,3,POSITIVE
5,True,"01 7, 2018",ASCVRI1J05PYV,B015I1CYFE,DesertScottAZ,"This was my first filament when I bought my printer. I bought because it's the amazon suggested and has a lot of solid reviews. It's proven to be a consistent and reliable product. I run my head @ 200C and the bed @ 60C and it seems to work quite well. I have seen consistent, smooth prints and recommend this product.",Good filament.,1515283200,,,,61,2,POSITIVE
4,True,"05 19, 2015",A12ZXIOG7251VS,B007AX7224,Sam,A very good product. Works well as intended.,Four Stars,1431993600,,,,8,2,POSITIVE
5,True,"04 10, 2018",A16Y1M9HQOSI7F,B001FCB4JS,S. Gardner,"Perfect way to seal down items to an RV roof.  Thick tape fills the little gaps, leaving a perfect seal.",Thick tape fills gaps leaving great seal,1523318400,,{'Size:': ' 1/8 Inch x 3/4 Inch x 30 Foot'},,20,7,POSITIVE
5,True,"04 19, 2016",A1OF1LIZW6YQWW,B00317D90C,Huw Powell,Wire nuts. They are a pretty red color and fun to use.,Wire nuts.,1461024000,,"{'Size:': ' 25 Pack', 'Color:': ' Red', 'Style:': ' 22 - 10 AWG'}",,12,2,POSITIVE
4,True,"06 23, 2015",A2YQOOB0F3DF5N,B000GKDFW4,Nfabes22,"Great tie downs, better than paying triple the cost for the higher end brand.  Just wish they had the rubber covers over clutches.",Nice straps-good quality.,1435017600,,"{'Size:': ' 12 Foot (Pair)', 'Color:': ' One Color'}",,23,3,POSITIVE
5,True,"07 9, 2015",A25G2WGD2HEW9D,B00MFRZ2SG,Alex Gurzh,"Great price, 2 day delivery",Very good,1436400000,,,,5,2,POSITIVE
5,True,"10 5, 2013",A1ELFIDTLOMGQ,B000MVZ020,P. Brooks,These are great in the garage and or in the kitchen. They seem sturdy and well made but not for heavy duty car work. They can be washed and used a couple of times and hold up well . I'll buy more when these are gone.,Good fit for medium man hands,1380931200,,,,46,6,POSITIVE
5,True,"05 22, 2016",A2BITWAU4LP26F,B0018QBW02,Micah,I REALLY LOVE THESE FUNNELS.  EASY TO CLEAN.,Five Stars,1463875200,,,,8,2,POSITIVE
4,True,"03 22, 2017",A1R6O584FLMYVT,B012WKII7W,Timothy K.,"As described. They are very smelly though (strong plastic/rubber/chemical smell), not sure what they are made of.",Four Stars,1490140800,,,,17,2,POSITIVE
5,True,"09 21, 2017",A23JVVPL79Q4PN,B015YKJPTW,Steve C.,Abrade and wear as good or better than any of the expensive brands. Really impressed.,Five Stars,1505952000,,{'Pattern:': ' 80 Grit'},,15,2,POSITIVE
5,True,"02 23, 2015",ALUS8GA3WUZVM,B00B7SCWSC,Fahad Choudhary,3M Littmann are the best stethoscopes.,Five Stars,1424649600,,,,6,2,POSITIVE
5,True,"08 1, 2014",A57QUVYQHF428,B004UE9RPQ,N. Tore,If you've never tried this mouthwash you're really missing out WOW! And the tooth paste is really great too!,Great Stuff,1406851200,,{'Style Name:': ' Patient Care Pack'},,19,2,POSITIVE
5,True,"09 23, 2016",AJDWJF8J67VYJ,B00NGVF4II,Elaine M. Woody,"I absolutely think this is the best vacuum I have ever used. Easy to use, attachments are great, goes under furniture and has this swirly head to clean all areas of floor. No bags to buy, washable filters. A Great product so this 68 year old says!!","Easiest, powerful stick vacuum this old lady has used!!",1474588800,2,{'Color:': ' Bordeaux'},,47,9,POSITIVE
4,True,"06 3, 2015",A1C4XZPPK9CBUM,B000CCV94M,Cobra,Can't go wrong with Dremel quality.,Good Buy,1433289600,,,,6,2,POSITIVE
5,True,"04 24, 2017",A3H1WG3OIC5T78,B00ICP6M16,Eva,Absolutely perfect underwater Adhesive. Good price for 8-ounce of glue. Work perfect for kayak. Work also good for shoes. Five stars. Highly recommended.,Absolutely perfect underwater Adhesive,1492992000,,,,23,4,POSITIVE
5,True,"07 14, 2016",AQROB5CMF4Y5N,B001FQ74FW,AniG,"Installed them in my Marshall 1960A cab to replace the original plastic inserts and they work beautifully.
the pop-in option is the best and I use it every time, as I have limited room in my trunk when transporting my gear for gigs.
These are a much, much better upgrade from the originals in my cabinet.",Great casters - much better than original,1468454400,,{'Color:': ' nickel'},,56,7,POSITIVE
5,True,"03 20, 2017",A20H18L6TFD8V,B017RIR43S,prairie.princess,These worked great for my project.,Five Stars,1489968000,,,,6,2,POSITIVE
4,True,"12 31, 2010",A16XAW90Q8O71O,B001CTTNSS,Albatross Necklace,"Price was good and it reinforced the leather in the jacket I was designing, so there was no tear through from the aramid that was being used to hold the outer shell to the jacket.
Just what I was looking for. Will give it 4 star as I'm sure there is something better but I do not know enough about mesh/screen to say what it might be. I used this for abnormal purposes so judging for normal use is not where this review is going.",Worked well,1293753600,,"{'Size:': ' 0.039 inches', 'Length:': ' 24', 'Number of Items:': ' 1', 'Overall Length:': ' 24', 'Pattern:': ' 18 x 18', 'Thickness:': ' 0.039'}",,85,2,POSITIVE
5,True,"04 10, 2018",A2BKXXEM5EEE0C,B01D56P8V6,Lillian Manning,great,Five Stars,1523318400,,,,1,2,POSITIVE
5,True,"12 19, 2017",A3TWSSE5JHWKPN,B0177PN6SI,Ronnie Reeder,Thank You.,Five Stars,1513641600,,{'Color:': ' Step Bits 2'},,2,2,POSITIVE
1,True,"09 11, 2015",A2046OPK8FNVAB,B007VCTQEG,skeeterz,LASTED FOR ONE TOOTH ON STUMP GRINDER,One Star,1441929600,,,,7,2,NEGATIVE
4,True,"11 13, 2017",A3P1X94UFR63AI,B003E48ETS,D,"Appears  as stated, good hold",does as expected,1510531200,,,,5,3,POSITIVE
5,True,"05 30, 2017",A16BEOU5VQ3B4P,B00EEJUH56,Amazon Customer,Just what I wanted.,Five Stars,1496102400,,{'Color:': ' Blue Vacuum'},,4,2,POSITIVE
5,True,"08 28, 2014",A4JOE3L1X9KYR,B004C50U2M,Rene Garcia,Great they arrive on time and so far working as expected,Five Stars,1409184000,,,,11,2,POSITIVE
5,True,"02 12, 2018",A2VLW5T5TUWHJV,B00FDSLIOG,linda,work great,Five Stars,1518393600,,{'Size Name:': ' 12 Pack'},,2,2,POSITIVE
5,True,"07 16, 2015",A3RACQVQXIIY7D,B0077RAUTA,Molly,Great!,Five Stars,1437004800,,,,1,2,POSITIVE
5,False,"06 25, 2017",A1FWSAAJJD518E,B003Y49R7G,Kamil Pasek,This Ultra super Glue works very well on my airplanes like Skymarks Gemini Jets Herpa.,Five Stars,1498348800,,{'Size Name:': ' Single'},,15,2,POSITIVE
4,True,"09 19, 2017",AYYVNYVE2BFTK,B01H4QN27A,VIRGINIA TURRUBIARTE,I tried it and it worked. I'll be hunting for water soon.,Four Stars,1505779200,,,,12,2,POSITIVE
5,True,"03 16, 2018",AVPXZHLH4U6QU,B0051IB63Q,DC,Works great just don't hit a stud.,Five Stars,1521158400,,{'Package Quantity:': ' 1'},,7,2,POSITIVE
5,True,"05 25, 2018",A1QLDRZLR9XMQU,B00DMB2K2U,James A. Billings,Works fine.,"Quality product, delivered on time.",1527206400,,"{'Size:': ' 14.00mm', 'Part Number:': ' DWRR14.0MM', 'Style:': ' Metric'}",,2,5,POSITIVE
5,True,"12 22, 2016",A1212K885FUFWY,B00JKBAVI6,celia vasquez,Thanks,Five Stars,1482364800,,,,1,2,POSITIVE
2,True,"09 19, 2014",A2KSVCBPTRP9DT,B0006O1ICE,Connie Springer,We used it to patch a hole on our radiator.  It didn't work!,Not as strong as it claims,1411084800,,{'Size:': ' 2 oz'},,13,6,NEGATIVE
